EventWall_ns,RowType,Source_Index,Source_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1784219383046624124,MATCHED,214,1784219383046624124,242,1784219383056035777,-9411653,-9.411653
1784219383080392437,MATCHED,215,1784219383080392437,243,1784219383096331585,-15939148,-15.939148
1784219383113982123,MATCHED,216,1784219383113982123,243,1784219383096331585,17650538,17.650538
1784219383147071481,MATCHED,217,1784219383147071481,244,1784219383140715711,6355770,6.355770
1784219383179878768,MATCHED,218,1784219383179878768,245,1784219383175702974,4175794,4.175794
1784219383213843209,MATCHED,219,1784219383213843209,246,1784219383220067120,-6223911,-6.223911
1784219383247112139,MATCHED,220,1784219383247112139,247,1784219383251403836,-4291697,-4.291697
1784219383279956888,MATCHED,221,1784219383279956888,248,1784219383284709973,-4753085,-4.753085
1784219383314360435,MATCHED,222,1784219383314360435,249,1784219383317972665,-3612230,-3.612230
1784219383347801308,MATCHED,223,1784219383347801308,250,1784219383351409633,-3608325,-3.608325
1784219383380862758,MATCHED,224,1784219383380862758,251,1784219383384465199,-3602441,-3.602441
1784219383413425770,MATCHED,225,1784219383413425770,252,1784219383418165923,-4740153,-4.740153
1784219383446913346,MATCHED,226,1784219383446913346,253,1784219383451670871,-4757525,-4.757525
1784219383481077229,MATCHED,227,1784219383481077229,254,1784219383486904835,-5827606,-5.827606
1784219383513579797,MATCHED,228,1784219383513579797,255,1784219383504270987,9308810,9.308810
1784219383546272437,MATCHED,229,1784219383546272437,257,1784219383560423373,-14150936,-14.150936
1784219383580166545,MATCHED,230,1784219383580166545,258,1784219383594126245,-13959700,-13.959700
1784219383613608955,MATCHED,231,1784219383613608955,259,1784219383628218723,-14609768,-14.609768
1784219383647032383,MATCHED,232,1784219383647032383,260,1784219383659675271,-12642888,-12.642888
1784219383679492970,MATCHED,233,1784219383679492970,261,1784219383692830169,-13337199,-13.337199
1784219383713520985,MATCHED,234,1784219383713520985,262,1784219383726515652,-12994667,-12.994667
1784219383746792655,MATCHED,235,1784219383746792655,263,1784219383761354140,-14561485,-14.561485
1784219383779650923,MATCHED,236,1784219383779650923,264,1784219383792303195,-12652272,-12.652272
1784219383814796018,MATCHED,237,1784219383814796018,265,1784219383826257378,-11461360,-11.461360
