row_index,camera,bounce_frame,clip_name,clip_path,status,decode_s,crop_s,write_s,total_s,updated_at
96,hq,6540,bounce_6540_00096.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_6540_00096.mp4,ok,0.454802,0.000083,0.511013,0.965924,2026-05-28 21:56:59
98,source,6972,bounce_6972_00098.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_6972_00098.mp4,ok,0.773476,0.000090,0.495395,1.268993,2026-05-28 21:57:00
98,sink,6972,bounce_6972_00098.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_6972_00098.mp4,ok,0.598272,0.000083,0.495626,1.094009,2026-05-28 21:57:01
98,hq,6972,bounce_6972_00098.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_6972_00098.mp4,ok,0.997501,0.000078,0.416881,1.414487,2026-05-28 21:57:02
99,source,7027,bounce_7027_00099.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_7027_00099.mp4,ok,0.517366,0.000088,0.487498,1.004981,2026-05-28 21:57:03
99,sink,7027,bounce_7027_00099.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_7027_00099.mp4,ok,0.374318,0.000099,0.560536,0.934980,2026-05-28 21:57:04
99,hq,7027,bounce_7027_00099.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_7027_00099.mp4,ok,0.903694,0.000081,0.355217,1.259018,2026-05-28 21:57:06
102,source,7124,bounce_7124_00102.mp4,/home/jetson/Desktop/cv_output/bounce_clips/source/bounce_7124_00102.mp4,ok,0.850533,0.000091,0.607549,1.458206,2026-05-28 21:57:07
102,sink,7124,bounce_7124_00102.mp4,/home/jetson/Desktop/cv_output/bounce_clips/sink/bounce_7124_00102.mp4,ok,0.617604,0.000095,0.457420,1.075150,2026-05-28 21:57:08
102,hq,7124,bounce_7124_00102.mp4,/home/jetson/Desktop/cv_output/bounce_clips/hq/bounce_7124_00102.mp4,ok,1.487223,0.000083,1.129275,2.616610,2026-05-28 21:57:11
